Metric,Value
Analysis Timestamp,2025-08-10 16:43:17
Location,"Sines, Portugal"
Tariff Rate,25%
Hardware Exposure,40%
Base CapEx (USD Million),549.80
Hardware Cost (USD Million),219.92
Tariff Cost Base (USD Million),54.98
Risk-Adjusted Tariff Cost (USD Million),71.47
Total CapEx (USD Million),621.27
CapEx Increase (%),13.00
Base TCO 10yr (USD Million),1450.70
New TCO 10yr (USD Million),1522.17
TCO Increase (%),4.93
Risk Level,Low
Region,EU
