Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,86.7906,4.4460119870908255,2038.8906,Low
Moderate Escalation (40%),40%,231.44160000000005,11.856031965575538,2183.5416,Medium
Maximum Escalation (60%),60%,347.1624,17.784047948363302,2299.2624,High
Trade War (80%),80%,462.8832000000001,23.712063931151075,2414.9832,High
