Metric,Value
Analysis Timestamp,2025-08-10 16:42:51
Location,"Kristiansand, Norway"
Tariff Rate,25%
Hardware Exposure,40%
Base CapEx (USD Million),240.60
Hardware Cost (USD Million),96.24
Tariff Cost Base (USD Million),24.06
Risk-Adjusted Tariff Cost (USD Million),31.28
Total CapEx (USD Million),271.88
CapEx Increase (%),13.00
Base TCO 10yr (USD Million),596.90
New TCO 10yr (USD Million),628.18
TCO Increase (%),5.24
Risk Level,Medium
Region,EU
