Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,68.4372,4.742045454545455,1511.6372000000001,Low
Moderate Escalation (40%),40%,182.49920000000003,12.645454545454546,1625.6992,Medium
Maximum Escalation (60%),60%,273.7488,18.96818181818182,1716.9488000000001,High
Trade War (80%),80%,364.99840000000006,25.290909090909093,1808.1984000000002,High
