Metric,Value
Analysis Timestamp,2025-08-10 16:42:16
Location,"Boden, Sweden"
Tariff Rate,25%
Hardware Exposure,40%
Base CapEx (USD Million),205.30
Hardware Cost (USD Million),82.12
Tariff Cost Base (USD Million),20.53
Risk-Adjusted Tariff Cost (USD Million),26.69
Total CapEx (USD Million),231.99
CapEx Increase (%),13.00
Base TCO 10yr (USD Million),499.50
New TCO 10yr (USD Million),526.19
TCO Increase (%),5.34
Risk Level,Medium
Region,EU
