Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,16.0134,3.2058858858858863,515.5134,Low
Moderate Escalation (40%),40%,42.70240000000001,8.549029029029033,542.2024,Medium
Maximum Escalation (60%),60%,64.0536,12.823543543543545,563.5536,Medium
Trade War (80%),80%,85.40480000000002,17.098058058058065,584.9048,High
