Metric,Value
Analysis Timestamp,2025-08-10 16:42:28
Location,"Johor, Malaysia"
Tariff Rate,25%
Hardware Exposure,40%
Base CapEx (USD Million),888.60
Hardware Cost (USD Million),355.44
Tariff Cost Base (USD Million),88.86
Risk-Adjusted Tariff Cost (USD Million),115.52
Total CapEx (USD Million),1004.12
CapEx Increase (%),13.00
Base TCO 10yr (USD Million),1681.80
New TCO 10yr (USD Million),1797.32
TCO Increase (%),6.87
Risk Level,Medium
Region,APAC
