Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,69.31080000000001,4.121227256510882,1751.1108,Low
Moderate Escalation (40%),40%,184.82880000000003,10.989939350695686,1866.6288,Medium
Maximum Escalation (60%),60%,277.24320000000006,16.48490902604353,1959.0432,High
Trade War (80%),80%,369.65760000000006,21.97987870139137,2051.4576,High
