Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,76.0188,4.695126922364277,1695.1188,Low
Moderate Escalation (40%),40%,202.71680000000006,12.520338459638076,1821.8168,Medium
Maximum Escalation (60%),60%,304.0752,18.780507689457107,1923.1752,High
Trade War (80%),80%,405.4336000000001,25.04067691927615,2024.5336,High
