Metric,Value
Analysis Timestamp,2025-08-10 16:41:58
Location,"Salt Lake City, Utah"
Tariff Rate,25%
Hardware Exposure,40%
Base CapEx (USD Million),974.60
Hardware Cost (USD Million),389.84
Tariff Cost Base (USD Million),97.46
Risk-Adjusted Tariff Cost (USD Million),126.70
Total CapEx (USD Million),1101.30
CapEx Increase (%),13.00
Base TCO 10yr (USD Million),1619.10
New TCO 10yr (USD Million),1745.80
TCO Increase (%),7.83
Risk Level,Medium
Region,US
