Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,60.6528,4.775059045819556,1330.8528000000001,Low
Moderate Escalation (40%),40%,161.7408,12.73349078885215,1431.9408,Medium
Maximum Escalation (60%),60%,242.6112,19.100236183278223,1512.8112,High
Trade War (80%),80%,323.4816,25.4669815777043,1593.6816000000001,High
