Scenario,Tariff Rate,Cost Impact,TCO Increase,New TCO,Risk Level
Current (7.5-25%),15%,27.713400000000004,3.580080093011239,801.8134,Low
Moderate Escalation (40%),40%,73.90240000000001,9.546880248029971,848.0024000000001,Medium
Maximum Escalation (60%),60%,110.85360000000001,14.320320372044955,884.9536,Medium
Trade War (80%),80%,147.80480000000003,19.093760496059943,921.9048,High
