Metric,Value
Analysis Timestamp,2025-08-10 16:43:28
Location,Iceland (Reykjanes)
Tariff Rate,25%
Hardware Exposure,40%
Base CapEx (USD Million),355.30
Hardware Cost (USD Million),142.12
Tariff Cost Base (USD Million),35.53
Risk-Adjusted Tariff Cost (USD Million),46.19
Total CapEx (USD Million),401.49
CapEx Increase (%),13.00
Base TCO 10yr (USD Million),774.10
New TCO 10yr (USD Million),820.29
TCO Increase (%),5.97
Risk Level,Medium
Region,EU
